Keyword,Confidentiality Level,Sensivity Level
ผ่าตัด,10,10
เผ่นหนี,10,10
เป็นไปไม่ได้,5,10
ฟุ้งซ่าน,10,10
ดราม่า,10,10
ไม่ดี,10,10
หมดกำลัง,10,10
หมดกำลังใจ,10,10
หมดความรู้สึก,10,10
หมดค่า,10,10
หมดจิตหมดใจ,10,10
หมดตัว,10,10
ให้การเท็จ,15,10
เสียกำลัง,15,10
เสียกำลังใจ,15,10
ความเดือดร้อน,15,10
เอาแต่ใจตัวเอง,15,10
โควิด,15,10
ติดโควิด,15,10
ชุมนุม,15,10
ใช้ความรุนแรง,10,10
ว้าวุ่นเลยทีนี้,15,10
พ่อมึงตาย,15,10
ควยถอกกระรอกแทะ,20,10
เซราะกราว,10,10
โรคจิต,10,10
โรคติดต่อ,15,10
แพร่ระบาด,15,10
ขี้งก,10,10
กบฏ,20,10
อหิวาตกาโรค,20,10
ซึมเศร้า,15,10
ไวรัส,20,10
